symbol,name,sector,industry
DNB,Dun & Bradstreet Holdings Inc. Common Stock,Technology,Internet and Information Services
DNLI,Denali Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DNMR,Danimer Scientific Inc. Common Stock,Industrials,Plastic Products
DNN,Denison Mines Corp Ordinary Shares (Canada),,
DNOW,NOW Inc. Common Stock,Industrials,Metal Fabrications
DNP,DNP Select Income Fund Inc. Common Stock,Finance,Investment Managers
DNUT,Krispy Kreme Inc. Common Stock,Consumer Discretionary,Specialty Foods
DNZ,D and Z Media Acquisition Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances
DO,Diamond Offshore Drilling Inc. Common Stock,Energy,Oil & Gas Production
DOC,Physicians Realty Trust Common Shares of Beneficial Interest,Real Estate,Real Estate Investment Trusts
DOCN,DigitalOcean Holdings Inc. Common Stock,Technology,Retail: Computer Software & Peripheral Equipment
DOCS,Doximity Inc. Class A Common Stock,Technology,Retail: Computer Software & Peripheral Equipment
DOCU,DocuSign Inc. Common Stock,Technology,EDP Services
DOGZ,Dogness (International) Corporation Class A Common Stock,Consumer Discretionary,Miscellaneous manufacturing industries
DOLE,Dole plc Ordinary Shares,,
DOMA,Doma Holdings Inc. Common Stock,Finance,Real Estate
DOMO,Domo Inc. Class B Common Stock,Technology,Computer Software: Prepackaged Software
DOOO,BRP Inc. (Recreational Products) Common Subordinate Voting Shares,,
DOOR,Masonite International Corporation Ordinary Shares (Canada),,
DORM,Dorman Products Inc. Common Stock,Consumer Discretionary,Auto Parts:O.E.M.
DOUG,Douglas Elliman Inc. Common Stock,Real Estate,Building operators
DOV,Dover Corporation Common Stock,Industrials,Industrial Machinery/Components
DOW,Dow Inc. Common Stock,Industrials,Industrial Specialties
DOX,Amdocs Limited Ordinary Shares,Technology,EDP Services
DOYU,DouYu International Holdings Limited ADS,Technology,Computer Software: Programming Data Processing
DPCS,DP Cap Acquisition Corp I Class A Ordinary Shares,,
DPCSU,DP Cap Acquisition Corp I Unit,,
DPCSW,DP Cap Acquisition Corp I Warrants,,
DPG,Duff & Phelps Utility and Infrastructure Fund Inc.,Finance,Trusts Except Educational Religious and Charitable
DPRO,Draganfly Inc. Common Shares,Consumer Discretionary,Electronic Components
DPSI,DecisionPoint Systems Inc. Common Stock,Technology,Retail: Computer Software & Peripheral Equipment
DPZ,Domino's Pizza Inc Common Stock,Consumer Discretionary,Food Distributors
DQ,DAQO New Energy Corp. American Depositary Shares each representing five ordinary shares,Technology,Semiconductors
DRAY,Macondray Capital Acquisition Corp. I Class A Ordinary Shares,,
DRAYU,Macondray Capital Acquisition Corp. I Unit,,
DRAYW,Macondray Capital Acquisition Corp. I Warrant,,
DRCT,Direct Digital Holdings Inc. Class A Common Stock,Consumer Discretionary,Advertising
DRD,DRDGOLD Limited American Depositary Shares,Basic Materials,Precious Metals
DRE,Duke Realty Corporation Common Stock,Real Estate,Real Estate Investment Trusts
DRH,Diamondrock Hospitality Company Common Stock,Real Estate,Real Estate Investment Trusts
DRH^A,Diamondrock Hospitality Company 8.250% Series A Cumulative Redeemable Preferred Stock,,
DRI,Darden Restaurants Inc. Common Stock,Consumer Discretionary,Restaurants
DRIO,DarioHealth Corp. Common Stock,Health Care,Medical/Dental Instruments
DRMA,Dermata Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
DRMAW,Dermata Therapeutics Inc. Warrant,Health Care,Biotechnology: Pharmaceutical Preparations
DRQ,Dril-Quip Inc. Common Stock,Industrials,Metal Fabrications
DRRX,DURECT Corporation Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
DRTS,Alpha Tau Medical Ltd. Ordinary Shares,Health Care,Biotechnology: Pharmaceutical Preparations
DRTSW,Alpha Tau Medical Ltd. Warrant,Finance,Business Services
DRTT,DIRTT Environmental Solutions Ltd. Common Shares,,
DRUG,Bright Minds Biosciences Inc. Common Stock,Health Care,Medicinal Chemicals and Botanical Products
DRVN,Driven Brands Holdings Inc. Common Stock,,
DS,Drive Shack Inc.,Consumer Discretionary,Movies/Entertainment
DS^B,Drive Shack Inc. Preferred Series B,,
DS^C,Drive Shack Inc. Preferred Series C,,
DS^D,Drive Shack Inc. Pfd Ser D,,
DSAQ,Direct Selling Acquisition Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances
DSEY,Diversey Holdings Ltd. Ordinary Shares,Consumer Discretionary,Specialty Chemicals
DSGN,Design Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
DSGR,Distribution Solutions Group Inc. Common Stock,Industrials,Industrial Machinery/Components
DSGX,Descartes Systems Group Inc. (The) Common Stock,,
DSKE,Daseke Inc. Common Stock,,
DSL,DoubleLine Income Solutions Fund Common Shares of Beneficial Interests,Finance,Trusts Except Educational Religious and Charitable
DSM,BNY Mellon Strategic Municipal Bond Fund Inc. Common Stock,Finance,Investment Managers
DSP,Viant Technology Inc. Class A Common Stock,Technology,EDP Services
DSS,DSS Inc. Common Stock,,
DSU,Blackrock Debt Strategies Fund Inc. Common Stock,Finance,Finance Companies
DSWL,Deswell Industries Inc. Common Shares,Industrials,Plastic Products
DSX,Diana Shipping inc. common stock,Consumer Discretionary,Marine Transportation
DSX^B,Diana Shipping Inc. Perpetual Preferred Shares Series B (Marshall Islands),,
DT,Dynatrace Inc. Common Stock,Technology,EDP Services
DTB,DTE Energy Company 2020 Series G 4.375% Junior Subordinated Debentures due 2080,Utilities,Electric Utilities: Central
DTC,Solo Brands Inc. Class A Common Stock,Miscellaneous,Diversified Commercial Services
DTE,DTE Energy Company Common Stock,Utilities,Electric Utilities: Central
DTEA,DAVIDsTEA Inc. Common Stock,,
DTF,DTF Tax-Free Income 2028 Term Fund Inc. Common Stock,Finance,Investment Managers
DTG,DTE Energy Company 2021 Series E 4.375% Junior Subordinated Debentures,Utilities,Electric Utilities: Central
DTIL,Precision BioSciences Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
DTLA^,Brookfield DTLA Inc. 7.625% Series A Cumulative Redeemable Preferred Stock,,
DTM,DT Midstream Inc. Common Stock,Utilities,Oil & Gas Production
DTOC,Digital Transformation Opportunities Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances
DTOCU,Digital Transformation Opportunities Corp. Units,Industrials,Consumer Electronics/Appliances
DTOCW,Digital Transformation Opportunities Corp. Warrant,Industrials,Consumer Electronics/Appliances
DTP,DTE Energy Company 6.25% Corporate Units,Utilities,Electric Utilities: Central
DTRT,DTRT Health Acquisition Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances
DTRTU,DTRT Health Acquisition Corp. Unit,Industrials,Consumer Electronics/Appliances
DTRTW,DTRT Health Acquisition Corp. Warrant,Industrials,Consumer Electronics/Appliances
DTSS,Datasea Inc. Common Stock,Technology,Retail: Computer Software & Peripheral Equipment
DTST,Data Storage Corporation Common Stock,Technology,EDP Services
DTSTW,Data Storage Corporation Warrant,Technology,EDP Services
DTW,DTE Energy Company 2017 Series E 5.25% Junior Subordinated Debentures due 2077,Utilities,Electric Utilities: Central
DUET,DUET Acquisition Corp. Class A Common Stock,Miscellaneous,Other Pharmaceuticals
DUETU,DUET Acquisition Corp. Unit,Miscellaneous,Other Pharmaceuticals
DUETW,DUET Acquisition Corp. Warrant,Miscellaneous,Other Pharmaceuticals
DUK,Duke Energy Corporation (Holding Company) Common Stock,Utilities,Power Generation
DUK^A,Duke Energy Corporation Depositary Shares each representing a 1/1000th interest in a share of 5.75% Series A Cumulative Redeemable Perpetual Preferred Stock,,
DUKB,Duke Energy Corporation 5.625% Junior Subordinated Debentures due 2078,Utilities,Power Generation
DUNE,Dune Acquisition Corporation Class A Common Stock,Industrials,Consumer Electronics/Appliances
DUNEU,Dune Acquisition Corporation Unit,Industrials,Consumer Electronics/Appliances
DUNEW,Dune Acquisition Corporation Warrant,Industrials,Consumer Electronics/Appliances
DUO,Fangdd Network Group Ltd. American Depositary Shares,Technology,Computer Software: Programming Data Processing
DUOL,Duolingo Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
DUOT,Duos Technologies Group Inc. Common Stock,Technology,Computer Software: Prepackaged Software
DV,DoubleVerify Holdings Inc. Common Stock,Technology,Computer Software: Prepackaged Software
DVA,DaVita Inc. Common Stock,Health Care,Medical/Nursing Services
DVAX,Dynavax Technologies Corporation Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
DVN,Devon Energy Corporation Common Stock,Energy,Oil & Gas Production
DWAC,Digital World Acquisition Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances
DWACU,Digital World Acquisition Corp. Units,Industrials,Consumer Electronics/Appliances
DWACW,Digital World Acquisition Corp. Warrants,Industrials,Consumer Electronics/Appliances
DWSN,Dawson Geophysical Company Common Stock,Energy,Oil & Gas Production
DX,Dynex Capital Inc. Common Stock,Real Estate,Real Estate Investment Trusts
DX^C,Dynex Capital Inc. 6.900% Series C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,,
DXC,DXC Technology Company Common Stock,Technology,EDP Services
DXCM,DexCom Inc. Common Stock,Health Care,Medical Specialities
DXF,Dunxin Financial Holdings Limited American Depositary Shares,Consumer Discretionary,Apparel
DXLG,Destination XL Group Inc. Common Stock,Consumer Discretionary,Clothing/Shoe/Accessory Stores
DXPE,DXP Enterprises Inc. Common Stock,Industrials,Industrial Machinery/Components
DXR,Daxor Corporation Common Stock,Health Care,Medical/Dental Instruments
DXYN,Dixie Group Inc. (The) Common Stock,Consumer Discretionary,Home Furnishings
DY,Dycom Industries Inc. Common Stock,Industrials,Water Sewer Pipeline Comm & Power Line Construction
DYAI,Dyadic International Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DYN,Dyne Therapeutics Inc. Common Stock,Health Care,Medicinal Chemicals and Botanical Products
DYNT,Dynatronics Corporation Common Stock,Health Care,Medical/Dental Instruments
DZSI,DZS Inc. Common Stock,Utilities,Telecommunications Equipment
E,ENI S.p.A. Common Stock,Energy,Oil & Gas Production
EA,Electronic Arts Inc. Common Stock,Consumer Discretionary,Recreational Games/Products/Toys
EAC,Edify Acquisition Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances
EACPU,Edify Acquisition Corp. Units,Industrials,Consumer Electronics/Appliances
EACPW,Edify Acquisition Corp. Warrant,Industrials,Consumer Electronics/Appliances
EAD,Allspring Income Opportunities Fund Common Shares,Finance,Finance/Investors Services
EAF,GrafTech International Ltd. Common Stock,Consumer Discretionary,Metal Fabrications
EAI,Entergy Arkansas LLC First Mortgage Bonds 4.875% Series Due September 1 2066,,
EAR,Eargo Inc. Common Stock,Health Care,Medical Specialities
EARN,Ellington Residential Mortgage REIT Common Shares of Beneficial Interest,Real Estate,Real Estate Investment Trusts
EAST,Eastside Distilling Inc. Common Stock,Consumer Staples,Beverages (Production/Distribution)
EAT,Brinker International Inc. Common Stock,Consumer Discretionary,Restaurants
EB,Eventbrite Inc. Class A Common Stock,Technology,EDP Services
EBAC,European Biotech Acquisition Corp. Class A Ordinary Shares,Finance,Business Services
EBACU,European Biotech Acquisition Corp. Units,Finance,Business Services
EBACW,European Biotech Acquisition Corp. Warrant,Finance,Business Services
EBAY,eBay Inc. Common Stock,Consumer Discretionary,Catalog/Specialty Distribution
EBC,Eastern Bankshares Inc. Common Stock,Finance,Major Banks
EBET,EBET INC. Common Stock,Consumer Discretionary,Services-Misc. Amusement & Recreation
EBF,Ennis Inc. Common Stock,Consumer Discretionary,Office Equipment/Supplies/Services
EBIX,Ebix Inc. Common Stock,Technology,EDP Services
EBMT,Eagle Bancorp Montana Inc. Common Stock,Finance,Savings Institutions
EBON,Ebang International Holdings Inc. Class A Ordinary Shares,Technology,Semiconductors
EBR,Centrais Electricas Brasileiras S A American Depositary Shares (Each representing one Common Share),Utilities,Electric Utilities: Central
EBS,Emergent Biosolutions Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
EBTC,Enterprise Bancorp Inc Common Stock,Finance,Major Banks
EC,Ecopetrol S.A. American Depositary Shares,Energy,Oil & Gas Production
ECAT,BlackRock ESG Capital Allocation Trust Common Shares of Beneficial Interest,Finance,Trusts Except Educational Religious and Charitable
ECBK,ECB Bancorp Inc. Common Stock,Finance,Banks
ECC,Eagle Point Credit Company Inc. Common Stock,Finance,Trusts Except Educational Religious and Charitable
ECC^D,Eagle Point Credit Company Inc. 6.75% Series D Preferred Stock,,
ECCC,Eagle Point Credit Company Inc. 6.50% Series C Term Preferred Stock due 2031,Finance,Trusts Except Educational Religious and Charitable
ECCV,Eagle Point Credit Company Inc. 5.375% Notes due 2029,Finance,Trusts Except Educational Religious and Charitable
ECCW,Eagle Point Credit Company Inc. 6.75% Notes due 2031,Finance,Trusts Except Educational Religious and Charitable
ECCX,Eagle Point Credit Company Inc. 6.6875% Notes due 2028,Finance,Trusts Except Educational Religious and Charitable
ECF,Ellsworth Growth and Income Fund Ltd.,Finance,Finance/Investors Services
ECF^A,Ellsworth Growth and Income Fund Ltd. 5.25% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share),,
ECL,Ecolab Inc. Common Stock,Consumer Discretionary,Package Goods/Cosmetics
ECOM,ChannelAdvisor Corporation Common Stock,Technology,Computer Software: Prepackaged Software
ECOR,electroCore Inc. Common Stock,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
ECPG,Encore Capital Group Inc Common Stock,,
ECVT,Ecovyst Inc. Common Stock,Industrials,Major Chemicals
ED,Consolidated Edison Inc. Common Stock,Utilities,Power Generation
EDAP,EDAP TMS S.A. American Depositary Shares,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EDBL,Edible Garden AG Incorporated Common Stock,Industrials,Agricultural Chemicals
EDBLW,Edible Garden AG Incorporated Warrant,Industrials,Agricultural Chemicals
EDD,Morgan Stanley Emerging Markets Domestic Debt Fund Inc. Morgan Stanley Emerging Markets Domestic Debt Fund Inc. Common Stock,Finance,Finance Companies
EDF,Virtus Stone Harbor Emerging Markets Income Fund Common Shares of Beneficial Interest,Finance,Investment Managers
EDI,Virtus Stone Harbor Emerging Markets Total Income Fund Common Shares of Beneficial Interest,Finance,Finance Companies
EDIT,Editas Medicine Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
EDN,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) American Depositary Shares,Utilities,Electric Utilities: Central
EDNC,Endurance Acquisition Corp. Class A Ordinary Shares,,
EDNCU,Endurance Acquisition Corp. Unit,,
EDNCW,Endurance Acquisition Corp. Warrant,,
EDR,Endeavor Group Holdings Inc. Class A Common Stock,Consumer Discretionary,Movies/Entertainment
EDRY,EuroDry Ltd. Common Shares,Consumer Discretionary,Marine Transportation
EDSA,Edesa Biotech Inc. Common Shares,Health Care,Medicinal Chemicals and Botanical Products
EDTK,Skillful Craftsman Education Technology Limited Ordinary Share,Real Estate,Other Consumer Services
EDTX,EdtechX Holdings Acquisition Corp. II Class A common stock,Industrials,Consumer Electronics/Appliances
EDTXU,EdtechX Holdings Acquisition Corp. II Unit,Industrials,Consumer Electronics/Appliances
EDTXW,EdtechX Holdings Acquisition Corp. II Warrant,Industrials,Consumer Electronics/Appliances
EDU,New Oriental Education & Technology Group Inc. Sponsored ADR representing 10 Ordinary Share (Cayman Islands),Real Estate,Other Consumer Services
EDUC,Educational Development Corporation Common Stock,Consumer Discretionary,Books
EE,Excelerate Energy Inc. Class A Common Stock,Utilities,Power Generation
EEA,The European Equity Fund Inc. Common Stock,Finance,Trusts Except Educational Religious and Charitable
EEFT,Euronet Worldwide Inc. Common Stock,Technology,EDP Services
EEIQ,EpicQuest Education Group International Limited Common Stock,Real Estate,Other Consumer Services
EEX,Emerald Holding Inc. Common Stock,Consumer Discretionary,Advertising
EFC,Ellington Financial Inc. Common Stock,Real Estate,Real Estate Investment Trusts
EFC^A,Ellington Financial Inc. 6.750% Series A Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,,
EFC^B,Ellington Financial Inc. 6.250% Series B Fixed-Rate Reset Cumulative Redeemable Preferred Stock,,
EFHTU,EF Hutton Acquisition Corporation I Unit,Industrials,Consumer Electronics/Appliances
EFL,Eaton Vance Floating-Rate 2022 Target Term Trust Common Shares of Beneficial Interest,Finance,Trusts Except Educational Religious and Charitable
EFOI,Energy Focus Inc. Common Stock,Consumer Discretionary,Building Products
EFR,Eaton Vance Senior Floating-Rate Fund Common Shares of Beneficial Interest,Finance,Trusts Except Educational Religious and Charitable
EFSC,Enterprise Financial Services Corporation Common Stock,Finance,Major Banks
EFSCP,Enterprise Financial Services Corporation Depositary Shares Each Representing a 1/40th Interest in a Share of 5% Fixed Rate Non-Cumulative Perpetual Preferred Stock Series A,Finance,Major Banks
EFSH,1847 Holdings LLC Common Shares,Industrials,Consumer Electronics/Appliances
EFT,Eaton Vance Floating Rate Income Trust Common Shares of Beneficial Interest,Finance,Finance Companies
EFTR,eFFECTOR Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
EFTRW,eFFECTOR Therapeutics Inc. Warrant,Health Care,Biotechnology: Pharmaceutical Preparations
EFX,Equifax Inc. Common Stock,Finance,Advertising
EGAN,eGain Corporation Common Stock,Technology,Computer Software: Prepackaged Software
EGBN,Eagle Bancorp Inc. Common Stock,Finance,Major Banks
EGF,Blackrock Enhanced Government Fund Inc. Common Stock,Finance,Trusts Except Educational Religious and Charitable
EGGF,EG Acquisition Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances
EGHT,8x8 Inc Common Stock,Technology,EDP Services
EGIO,Edgio Inc. Common Stock,Technology,Interactive Media
EGLE,Eagle Bulk Shipping Inc. Common Stock,Consumer Discretionary,Marine Transportation
EGLX,Enthusiast Gaming Holdings Inc. Common Stock,Miscellaneous,Other Pharmaceuticals
EGO,Eldorado Gold Corporation Ordinary Shares,,
EGP,EastGroup Properties Inc. Common Stock,Real Estate,Real Estate Investment Trusts
EGRX,Eagle Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
EGY,VAALCO Energy Inc.  Common Stock,Energy,Oil & Gas Production
EH,EHang Holdings Limited ADS,Consumer Discretionary,Air Freight/Delivery Services
EHAB,Enhabit Inc. Common Stock,Health Care,Hospital/Nursing Management
EHC,Encompass Health Corporation Common Stock,Health Care,Medical Specialities
EHI,Western Asset Global High Income Fund Inc Common Stock,Finance,Investment Managers
EHTH,eHealth Inc. Common Stock,Finance,Specialty Insurers
EIC,Eagle Point Income Company Inc. Common Stock,Finance,Finance/Investors Services
EICA,Eagle Point Income Company Inc. 5.00% Series A Term Preferred Stock due 2026,Finance,Finance/Investors Services
EIG,Employers Holdings Inc Common Stock,Finance,Property-Casualty Insurers
EIGR,Eiger BioPharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EIM,Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,Finance,Finance/Investors Services
EIX,Edison International Common Stock,Utilities,Electric Utilities: Central
EJH,E-Home Household Service Holdings Limited Ordinary Shares,Consumer Discretionary,Other Consumer Services
EKSO,Ekso Bionics Holdings Inc. Common Stock,Health Care,Medical/Dental Instruments
EL,Estee Lauder Companies Inc. (The) Common Stock,Consumer Discretionary,Package Goods/Cosmetics
ELA,Envela Corporation Common Stock,Consumer Discretionary,Consumer Specialties
ELAN,Elanco Animal Health Incorporated Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ELAT,Elanco Animal Health Incorporated 5.00% Tangible Equity Units,Health Care,Biotechnology: Pharmaceutical Preparations
ELBM,Electra Battery Materials Corporation Common Stock,,
ELC,Entergy Louisiana Inc. Collateral Trust Mortgage Bonds 4.875 % Series due September 1 2066,,
ELDN,Eledon Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ELEV,Elevation Oncology Inc. Common stock,Health Care,Biotechnology: Pharmaceutical Preparations
ELF,e.l.f. Beauty Inc. Common Stock,Consumer Discretionary,Package Goods/Cosmetics
ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),Utilities,Electric Utilities: Central
ELMD,Electromed Inc. Common Stock,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
ELOX,Eloxx Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ELP,Companhia Paranaense de Energia (COPEL) American Depositary Shares (each representing one Unit consisting one Common Share and four non-voting Class B Preferred Shares),Utilities,Electric Utilities: Central
ELS,Equity Lifestyle Properties Inc. Common Stock,Real Estate,Real Estate Investment Trusts
ELSE,Electro-Sensors Inc. Common Stock,Industrials,Industrial Machinery/Components
ELTK,Eltek Ltd. Ordinary Shares,Technology,Electrical Products
ELV,Elevance Health Inc. Common Stock,Health Care,Medical Specialities
ELVT,Elevate Credit Inc. Common Stock,Finance,Finance Companies
ELYM,Eliem Therapeutics Inc Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ELYS,Elys Game Technology Corp. Common Stock,Consumer Discretionary,Movies/Entertainment
EM,Smart Share Global Limited American Depositary Shares,Consumer Discretionary,Other Consumer Services
EMAN,eMagin Corporation Common Stock,Technology,Industrial Machinery/Components
EMBC,Embecta Corp. Common Stock,Health Care,Medicinal Chemicals and Botanical Products
EMBK,Embark Technology Inc. Common Stock,Technology,Computer Software: Prepackaged Software
EMBKW,Embark Technology Inc. Warrants,Technology,Computer Software: Prepackaged Software
EMCF,Emclaire Financial Corp Common Stock,Finance,Major Banks
EMCGU,Embrace Change Acquisition Corp Unit,,
EMD,Western Asset Emerging Markets Debt Fund Inc Common Stock,Finance,Finance/Investors Services
EME,EMCOR Group Inc. Common Stock,Industrials,Engineering & Construction
EMF,Templeton Emerging Markets Fund Common Stock,Finance,Finance/Investors Services
EMKR,EMCORE Corporation Common Stock,Technology,Semiconductors
EML,Eastern Company (The) Common Stock,Industrials,Industrial Specialties
EMLD,FTAC Emerald Acquisition Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances
EMLDU,FTAC Emerald Acquisition Corp. Unit,Industrials,Consumer Electronics/Appliances
EMLDW,FTAC Emerald Acquisition Corp. Warrant,Industrials,Consumer Electronics/Appliances
EMN,Eastman Chemical Company Common Stock,Industrials,Major Chemicals
EMO,ClearBridge Energy Midstream Opportunity Fund Inc. Common Stock,Finance,Investment Managers
EMP,Entergy Mississippi LLC First Mortgage Bonds 4.90% Series Due October 1 2066,,
EMR,Emerson Electric Company Common Stock,Industrials,Industrial Machinery/Components
EMX,EMX Royalty Corporation Common Shares (Canada),,
ENB,Enbridge Inc Common Stock,Energy,Oil & Gas Production
ENBA,Enbridge Inc 6.375% Fixed-to-Floating Rate Subordinated Notes Series 2018-B due 2078,Energy,Oil & Gas Production
ENCP,Energem Corp Class A Ordinary Shares,,
ENCPW,Energem Corp Warrant,,
ENER,Accretion Acquisition Corp. Common Stock,Industrials,Consumer Electronics/Appliances
ENERR,Accretion Acquisition Corp. Right,,
ENERU,Accretion Acquisition Corp. Unit,Industrials,Consumer Electronics/Appliances
ENERW,Accretion Acquisition Corp. Warrant,Industrials,Consumer Electronics/Appliances
ENFN,Enfusion Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
ENG,ENGlobal Corporation Common Stock,Consumer Discretionary,Military/Government/Technical
ENIC,Enel Chile S.A. American Depositary Shares (Each representing 50 shares of Common Stock),Utilities,Electric Utilities: Central
ENJ,Entergy New Orleans LLC First Mortgage Bonds 5.0% Series due December 1 2052,Utilities,Power Generation
ENLC,EnLink Midstream LLC Common Units representing Limited Partner Interests,Utilities,Natural Gas Distribution
ENLV,Enlivex Therapeutics Ltd. Ordinary Shares,Health Care,Biotechnology: Pharmaceutical Preparations
ENO,Entergy New Orleans LLC First Mortgage Bonds 5.50% Series due April 1 2066,,
ENOB,Enochian Biosciences Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ENOV,Enovis Corporation Common Stock,Industrials,Fluid Controls
ENPC,Executive Network Partnering Corporation Class A Common Stock,Industrials,Consumer Electronics/Appliances
ENPH,Enphase Energy Inc. Common Stock,Technology,Electrical Products
ENR,Energizer Holdings Inc. Common Stock,Industrials,Metal Fabrications
ENS,EnerSys Common Stock,Consumer Discretionary,Telecommunications Equipment
ENSC,Ensysce Biosciences Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ENSG,The Ensign Group Inc. Common Stock,Health Care,Hospital/Nursing Management
ENSV,Enservco Corporation Common Stock,Energy,Oilfield Services/Equipment
ENTA,Enanta Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ENTF,Enterprise 4.0 Technology Acquisition Corp. Class A Ordinary Shares,,
ENTFU,Enterprise 4.0 Technology Acquisition Corp. Unit,,
ENTG,Entegris Inc. Common Stock,Technology,Semiconductors
ENTX,Entera Bio Ltd. Ordinary Shares,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ENV,Envestnet Inc Common Stock,Technology,EDP Services
ENVA,Enova International Inc. Common Stock,Finance,Finance: Consumer Services
ENVB,Enveric Biosciences Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ENVX,Enovix Corporation Common Stock,Industrials,Industrial Machinery/Components
ENX,Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,Finance,Finance/Investors Services
ENZ,Enzo Biochem Inc. Common Stock ($0.01 Par Value),Health Care,Medical Specialities
EOCW,Elliott Opportunity II Corp. Class A Ordinary Shares,,
EOD,Allspring Global Dividend Opportunity Fund Common Shares of Beneficial Interest,Finance,Investment Managers
EOG,EOG Resources Inc. Common Stock,Energy,Oil & Gas Production
EOI,Eaton Vance Enhance Equity Income Fund Eaton Vance Enhanced Equity Income Fund Shares of Beneficial Interest,Real Estate,Real Estate Investment Trusts
EOLS,Evolus Inc. Common Stock,Health Care,Medicinal Chemicals and Botanical Products
EOS,Eaton Vance Enhance Equity Income Fund II Common Stock,Finance,Trusts Except Educational Religious and Charitable
EOSE,Eos Energy Enterprises Inc. Class A Common Stock,Technology,Electronic Components
EOSEW,Eos Energy Enterprises Inc. Warrant,Technology,Electronic Components
EOT,Eaton Vance Municipal Income Trust EATON VANCE NATIONAL MUNICIPAL OPPORTUNITIES TRUST,Finance,Trusts Except Educational Religious and Charitable
EP,Empire Petroleum Corporation Common Stock,Energy,Oil & Gas Production
EP^C,El Paso Corporation Preferred Stock,,
EPAC,Enerpac Tool Group Corp. Common Stock,Industrials,Industrial Machinery/Components
EPAM,EPAM Systems Inc. Common Stock,Technology,EDP Services
EPC,Edgewell Personal Care Company Common Stock,Consumer Discretionary,Package Goods/Cosmetics
EPD,Enterprise Products Partners L.P. Common Stock,Utilities,Natural Gas Distribution
EPHY,Epiphany Technology Acquisition Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances
EPHYU,Epiphany Technology Acquisition Corp. Unit,Industrials,Consumer Electronics/Appliances
EPHYW,Epiphany Technology Acquisition Corp. Warrant,Industrials,Consumer Electronics/Appliances
EPIX,ESSA Pharma Inc. Common Stock,Health Care,Medicinal Chemicals and Botanical Products
EPM,Evolution Petroleum Corporation Inc. Common Stock,Energy,Oil & Gas Production
EPOW,Sunrise New Energy Co. Ltd Ordinary Shares,Consumer Discretionary,Business Services
EPR,EPR Properties Common Stock,Real Estate,Real Estate Investment Trusts
EPR^C,EPR Properties 5.75% Series C Cumulative Convertible Preferred Shares,,
EPR^E,EPR Properties Series E Cumulative Conv Pfd Shs Ser E,,
EPR^G,EPR Properties 5.750% Series G Cumulative Redeemable Preferred Shares,,
EPRT,Essential Properties Realty Trust Inc. Common Stock,Real Estate,Real Estate Investment Trusts
